step,t(s),meas_pos(m),meas_vel(m/s),est_pos(m),est_vel(m/s),u(m/s^2)
388,3.88,4.572,-1.10065,4.59389,-1.12085,-0.403346
389,3.89,4.6194,-1.11118,4.58294,-1.12353,-0.402118
390,3.9,4.57864,-1.14146,4.57159,-1.12886,-0.400716
391,3.91,4.49431,-1.11147,4.56019,-1.13093,-0.399472
392,3.92,4.58299,-1.17541,4.54864,-1.13872,-0.397928
393,3.93,4.51114,-1.13884,4.53715,-1.14237,-0.396597
394,3.94,4.50172,-1.11528,4.52589,-1.14342,-0.395418
395,3.95,4.47101,-1.13638,4.51435,-1.1464,-0.394115
396,3.96,4.52361,-1.1564,4.5029,-1.15088,-0.392746
397,3.97,4.42385,-1.16783,4.49096,-1.15615,-0.391289
398,3.98,4.46327,-1.17134,4.47921,-1.16115,-0.389863
399,3.99,4.46445,-1.1492,4.46771,-1.16355,-0.388593
400,4,4.54832,-1.18716,4.45627,-1.16918,-0.387168
401,4.01,4.47755,-1.16943,4.44473,-1.17266,-0.385841
402,4.02,4.53209,-1.16862,4.43349,-1.17562,-0.384568
403,4.03,4.50469,-1.1388,4.42244,-1.17548,-0.38347
404,4.04,4.53709,-1.19555,4.41106,-1.18067,-0.382073
405,4.05,4.36194,-1.15619,4.39933,-1.18186,-0.380841
406,4.06,4.32963,-1.16637,4.38742,-1.18392,-0.379547
407,4.07,4.35999,-1.19901,4.3754,-1.18881,-0.378099
408,4.08,4.32974,-1.21671,4.36312,-1.19493,-0.376566
409,4.09,4.34718,-1.18528,4.35126,-1.19743,-0.375255
